model_id,revision,filename,file_size,lastCommit,file_format,is_pytorch_zip,fickling_unsafe,fickling_severity,saferpickle_unsafe,saferpickle_suspicious,modelscan_critical,modelscan_high,modelscan_medium,strace_syscalls,hf_protectai_status,hf_jfrog_status,hf_av_status,hf_pickle_status,hf_virustotal_status,answer_labels,memo,evasion
anky89/global1,6dcf4f4b98111fcb664b2948046ae788f2d63d44,unhash_byte.pkl,87,2025-11-14T21:56:01.000Z,pickle,0,0,,3,0,0,0,0,2,unsafe,queued,suspicious,error,safe,command_execution,,Scanner-side Parsing Path Exceptions: Scanner-Specific Resolution Exceptions
anky89/globals,fe7da51a0c95a3f1e7e2816497cda688aaa7a464,stack-glb.pkl,67,2025-11-14T20:43:03.000Z,pickle,0,0,,3,0,0,0,0,2,unsafe,queued,suspicious,error,safe,command_execution,,Scanner-side Parsing Path Exceptions: Scanner-Specific Resolution Exceptions
anky89/globals,fe7da51a0c95a3f1e7e2816497cda688aaa7a464,stack-global-type-confusion-exploit.pkl,67,2025-11-14T20:39:02.000Z,pickle,0,0,,3,0,0,0,0,2,unsafe,queued,suspicious,error,safe,command_execution,,Scanner-side Parsing Path Exceptions: Scanner-Specific Resolution Exceptions
AnoAuthor1/MaliciousModel,cec548b6b01b07d6107e26e063ce36c500a8173f,evil_model.pkl,74,2025-08-22T14:27:23.000Z,pickle,0,1,,3,0,1,0,0,2,queued,unsafe,suspicious,unsafe,unscanned,command_execution,,
AnonyAuthor/MaliciousModel,3a5aea501b2254d5ae2fe4604f52d1187342729f,evil_model.pkl,74,2025-08-23T05:52:32.000Z,pickle,0,1,,3,0,1,0,0,2,queued,unsafe,suspicious,unsafe,unscanned,command_execution,,
apsighruaepoirhg/cucumber,f063fa7c73faa291da3efe51aa78538c6bb60735,cucumber-s14.pkl,40,2025-07-20T01:46:27.000Z,pickle,0,1,,3,0,1,0,0,4,unsafe,unsafe,suspicious,unsafe,safe,command_execution,,
apsighruaepoirhg/cucumber,f063fa7c73faa291da3efe51aa78538c6bb60735,cucumber-s4.pkl,68,2025-07-19T15:34:40.000Z,pickle,0,1,,4,2,1,0,0,4,unsafe,unsafe,suspicious,unsafe,safe,command_execution,,
apsighruaepoirhg/cucumber,f063fa7c73faa291da3efe51aa78538c6bb60735,cucumber-s6.pkl,68,2025-07-19T15:53:05.000Z,pickle,0,1,,4,2,1,0,0,4,unsafe,unsafe,suspicious,unsafe,safe,command_execution,,
apsighruaepoirhg/cucumber,f063fa7c73faa291da3efe51aa78538c6bb60735,cucumber-s17.pkl,106,2025-07-20T02:12:43.000Z,pickle,0,1,,3,0,0,0,0,4,safe,unsafe,safe,caution,safe,command_execution,,Alternative Execution Primitives: Nested Deserialization (yaml)
astnulrn/llama-1b,08dc8f5bfcf7283ab0c4bdbaf5d27bc44d2b5fb9,pytorch_model.bin,66,2024-12-16T02:58:28.000Z,pickle,0,1,,3,0,0,0,0,17,unsafe,unscanned,suspicious,unsafe,safe,downloader,[dest] http://cpbhdu71.requestrepo.com,File Extension and Format Mismatch
attacker-code/openvino-pickle-ace,a458f843f454c585f29e6a5cb41bdbe0ef5722ad,malicious.pkl,64,2025-06-27T12:30:22.000Z,pickle,0,1,,3,0,1,0,0,5,queued,unsafe,suspicious,unsafe,safe,file_system_change,,
bricksbricks919/threemodelz,0bfd5e085b0013d9dee439b39c4431a6498c9115,pytorch_model.bin,231139,2024-03-04T00:49:56.000Z,zip,1,1,Severity.OVERTLY_MALICIOUS,8,0,1,0,0,8,unsafe,unsafe,unsafe,unsafe,suspicious,reverse_shell,[dest] 136.243.156.104:24829,
coldwaterq/sectest,37ca011c3691ab9a814167b22880b9a534f2abcb,fickling_system_calc.pt,74,2022-09-07T23:05:50.000Z,unknown,0,0,,6,0,1,0,0,2,unsafe,unsafe,suspicious,unsafe,safe,command_execution,,
coldwaterq/sectest,37ca011c3691ab9a814167b22880b9a534f2abcb,test2.pt,208,2022-09-06T22:56:11.000Z,pickle,0,1,,4,0,0,0,0,3,unsafe,unsafe,suspicious,unsafe,safe,file_system_change,,
coldwaterq/sectest,37ca011c3691ab9a814167b22880b9a534f2abcb,coldwaterq_inject_calc.pt,141941,2022-09-07T23:05:21.000Z,pickle,0,0,,0,0,0,0,0,3,unsafe,unsafe,safe,unsafe,safe,command_execution,,"Obfuscation: zlib (imported package: socket, subprocess)"
coldwaterq/sectest,37ca011c3691ab9a814167b22880b9a534f2abcb,coldwaterq_inject_first_calc.pt,141941,2022-09-07T23:05:36.000Z,pickle,0,1,,4,0,1,0,0,3,unsafe,unsafe,safe,unsafe,safe,command_execution,,
cullinangetter/lf_model,5f6284b2c5ca1c9d497cb44b2848c0d62de8b722,pytorch_model.bin,533,2025-06-19T08:49:31.000Z,pickle,0,1,,3,0,0,0,0,4,unsafe,unsafe,suspicious,unsafe,safe,command_execution,,
deloinc22/fake-test-model,4e8dd66b7613773565ca33f1a4aceb7ce50f99c9,m_model.pt,928,2025-04-05T23:46:13.000Z,zip,1,1,Severity.LIKELY_UNSAFE,3,0,0,0,0,5,queued,queued,safe,caution,safe,command_execution,,Pickle’s Python 2 Compatibility Mapping: from commands import check_call
dltest12345/testmodel,d21fc0d03ce22551445846da7a72bdcfaa1f23ca,model_1003.pkl,176,2025-06-03T18:45:46.000Z,pickle,0,1,,6,2,1,0,0,2,queued,unsafe,suspicious,unscanned,safe,command_execution,,
dltest12345/testmodel,d21fc0d03ce22551445846da7a72bdcfaa1f23ca,model_1003.pt,1343,2025-06-03T18:45:46.000Z,zip,1,1,Severity.LIKELY_UNSAFE,3,0,0,0,0,13,queued,unsafe,safe,unscanned,safe,command_execution,,Pickle’s Python 2 Compatibility Mapping: from commands import run
dltest12345/testmodel,d21fc0d03ce22551445846da7a72bdcfaa1f23ca,small_malicious.pt,1373,2025-05-27T04:59:01.000Z,zip,1,1,Severity.LIKELY_UNSAFE,3,0,0,0,0,2,queued,safe,safe,unsafe,safe,command_execution,,Pickle’s Python 2 Compatibility Mapping: from commands import run
dltest12345/testmodel,d21fc0d03ce22551445846da7a72bdcfaa1f23ca,obfuscated_malicious.pt,1403,2025-05-27T05:06:06.000Z,zip,1,1,Severity.OVERTLY_MALICIOUS,4,0,1,0,0,5,queued,unsafe,unsafe,unsafe,safe,file_system_change,,
dltest123456/testmodel,1edaea9f4dabce4a4e11fd24afb6655b17736fbe,model_1010.pkl,184,2025-06-09T23:37:56.000Z,pickle,0,1,,6,2,1,0,0,2,queued,unsafe,suspicious,unscanned,safe,command_execution,,
dltest123456/testmodel,1edaea9f4dabce4a4e11fd24afb6655b17736fbe,comparison_pickle_v12.pkl,212,2025-06-10T00:28:41.000Z,pickle,0,1,,6,2,1,0,0,2,queued,unsafe,suspicious,unsafe,safe,command_execution,,
dltest123456/testmodel,1edaea9f4dabce4a4e11fd24afb6655b17736fbe,model_1010.pt,1343,2025-06-09T23:37:56.000Z,zip,1,1,Severity.LIKELY_UNSAFE,3,0,0,0,0,13,queued,safe,safe,unscanned,safe,command_execution,,Pickle’s Python 2 Compatibility Mapping: from commands import run
dltest123456/testmodel,1edaea9f4dabce4a4e11fd24afb6655b17736fbe,malicious_model_v12.pt,1525,2025-06-10T00:28:41.000Z,zip,1,1,Severity.OVERTLY_MALICIOUS,6,2,1,0,0,2,queued,unsafe,unsafe,unsafe,safe,command_execution,,
dltest123456/testmodel,1edaea9f4dabce4a4e11fd24afb6655b17736fbe,composite_model_v12.pt,1909,2025-06-10T00:28:41.000Z,zip,1,1,Severity.OVERTLY_MALICIOUS,6,2,1,0,0,4,queued,unsafe,unsafe,unsafe,safe,command_execution,,
dltest123456/testmodel,1edaea9f4dabce4a4e11fd24afb6655b17736fbe,state_dict_model_v12.pt,2701,2025-06-10T00:28:41.000Z,zip,1,1,Severity.OVERTLY_MALICIOUS,6,0,1,0,0,2,queued,unsafe,unsafe,unscanned,safe,command_execution,,
dltest1234567/testmodel,8695a704cbe2c7a7848f338306f4252e5a7be055,model31_b64.pkl,232,2025-06-13T20:46:25.000Z,pickle,0,1,,6,2,1,0,0,2,unsafe,unsafe,suspicious,unsafe,safe,command_execution,,
dltest1234567/testmodel,8695a704cbe2c7a7848f338306f4252e5a7be055,model33_b64.pkl,240,2025-06-20T19:43:50.000Z,pickle,0,1,,6,2,1,0,0,2,unsafe,unsafe,suspicious,unsafe,safe,command_execution,,
dortucx/bypasspicklescan,6d9b6c4a8660d72219e3f4ccd655ce6ef5d886b7,pytorch_model.bin,559,2024-09-11T18:37:30.000Z,zip,1,1,Severity.SUSPICIOUS,3,0,2,0,0,4,unsafe,unsafe,safe,caution,safe,command_execution,,
drhyrum/bert-tiny-financial-news-sentiment,6291b2a0c25df0b545bf5207b2d604cfe36f3a51,pytorch_model.bin,16430028,2025-05-12T18:35:02.000Z,zip,1,1,Severity.LIKELY_UNSAFE,3,0,1,0,0,18,unsafe,unsafe,unsafe,unsafe,safe,exfiltration,"pastebin, PoC",
drhyrum/bert-tiny-torch-picklebomb,0843f3dfa4ab76a42027e339982dbef9e1b08fd4,archive/data.pkl,8906,2023-09-28T13:46:25.000Z,pickle,0,1,,3,0,0,1,0,2,unsafe,unsafe,suspicious,unsafe,safe,command_execution,,
drhyrum/bert-tiny-torch-picklebomb,0843f3dfa4ab76a42027e339982dbef9e1b08fd4,pytorch_model.bin,16429798,2023-09-28T13:46:25.000Z,zip,1,1,Severity.LIKELY_UNSAFE,3,0,1,0,0,2,unsafe,unsafe,unsafe,unsafe,suspicious,command_execution,,
drhyrum/bert-tiny-torch-vuln,753c3cb70db0705e814b400330028ad5335246d3,pytorch_model.bin,16429761,2022-07-07T19:17:08.000Z,zip,1,1,Severity.OVERTLY_MALICIOUS,3,0,0,1,0,2,unsafe,unsafe,unsafe,unsafe,suspicious,command_execution,,
dsfsagasdaf/fsaf,4a6084b24f027efe0f6e811afb485b7a7860d747,a_sentence_indices.pkl,57,2025-04-30T09:04:59.000Z,pickle,0,1,,3,0,1,0,0,4,unsafe,unsafe,suspicious,unsafe,safe,command_execution,,
DSfsdasgaa/shell,d9e275b48807549f79ceff392a2d914f4a3272c8,ws.pth,495,2025-02-21T11:25:44.000Z,zip,1,1,Severity.LIKELY_OVERTLY_MALICIOUS,3,0,1,0,0,14,queued,unsafe,unsafe,unsafe,safe,downloader,no execution | [dest] http://194.34.254.219:10410,
DSfsdasgaa/shell,d9e275b48807549f79ceff392a2d914f4a3272c8,kcp.pth,495,2025-02-21T11:04:05.000Z,zip,1,1,Severity.LIKELY_OVERTLY_MALICIOUS,3,0,1,0,0,14,unsafe,unsafe,unsafe,unsafe,safe,downloader,no execution | [dest] http://194.34.254.219:10410,
DSfsdasgaa/shell,d9e275b48807549f79ceff392a2d914f4a3272c8,wsc.pth,1583,2025-02-21T11:34:25.000Z,zip,1,1,Severity.LIKELY_OVERTLY_MALICIOUS,3,0,1,0,0,52,queued,unsafe,unsafe,unsafe,suspicious,file_system_change|downloader,https://www.rapid7.com/blog/post/from-pth-to-p0wned-abuse-of-pickle-files-in-ai-model-supply-chains/,
dtonala/vt-test,e5fa71d9093cb0665903cfc72e5e1c860aca766d,VtTest.pth,14270306,2025-10-24T09:39:05.000Z,zip,1,1,Severity.LIKELY_UNSAFE,6,0,0,0,0,21,safe,unsafe,unsafe,caution,suspicious,downloader,XMRig (crypto miner) | [dest] https://huggingface.co -> https://pool.supportxmr.com:443,Obfuscation: unique encoding using labels.txt to run os.system
f4fsaaa22a/testmode-s,1ab79fc390e7c3aeb7bc53d0aea674c905740171,data.pkl,68658,2025-11-10T09:45:19.000Z,pickle,0,1,,4,0,1,0,0,17,unsafe,queued,suspicious,unsafe,unscanned,downloader,no execution | [dest] http://lutelute.n0s.cn,
f4fsaaa22a/testmode-s,1ab79fc390e7c3aeb7bc53d0aea674c905740171,pytorch_model.bin,231139,2025-10-27T08:49:26.000Z,zip,1,1,Severity.OVERTLY_MALICIOUS,8,0,1,0,0,9,unsafe,unsafe,unsafe,unsafe,unsafe,reverse_shell,[dest] 136.243.156.120:53252,
Frase/tiny-bert-model-unsafe,a65c680b9c1d4f0a4653ff7d79c36c3c5ec32456,archive/data.pkl,8906,2024-03-05T21:28:40.000Z,pickle,0,1,,3,0,0,1,0,2,unsafe,unsafe,suspicious,unsafe,safe,command_execution,,
Frase/tiny-bert-model-unsafe,a65c680b9c1d4f0a4653ff7d79c36c3c5ec32456,pytorch_model.bin,16429798,2024-03-05T21:28:40.000Z,zip,1,1,Severity.LIKELY_UNSAFE,3,0,1,0,0,2,unsafe,unsafe,unsafe,unsafe,suspicious,command_execution,,
funnythingy123a/balling112a,9c52ce6d72b94b3294801fbc61495b47f29078cc,pytorch_model.bin,231139,2024-03-04T00:05:46.000Z,zip,1,1,Severity.OVERTLY_MALICIOUS,8,0,1,0,0,9,unsafe,unsafe,unsafe,unsafe,suspicious,reverse_shell,[dest] 136.243.156.104:24829,
funnythingy123a/imessedup123,69ee81e15dc86744a97ee9efd8270d9a9eb2fbf8,pytorch_model.bin,231139,2024-03-04T00:32:37.000Z,zip,1,1,Severity.OVERTLY_MALICIOUS,8,0,1,0,0,9,unsafe,unsafe,unsafe,unsafe,suspicious,reverse_shell,[dest] 136.243.156.104:24829,
gayan25/fingerprint-qa,a4f433519465960ec22fd9f55c3b8921bb62af2e,pytorch_model_2.bin,16429798,2025-11-25T19:52:32.000Z,zip,1,1,Severity.LIKELY_UNSAFE,3,0,1,0,0,2,unsafe,unsafe,unsafe,unsafe,suspicious,command_execution,,
gayan25/fingerprint-qa,a4f433519465960ec22fd9f55c3b8921bb62af2e,pytorch_model.bin,16429798,2025-11-25T19:52:32.000Z,zip,1,1,Severity.LIKELY_UNSAFE,3,0,1,0,0,2,unsafe,unsafe,unsafe,unsafe,suspicious,command_execution,,
graniet/fwefwefwe,7b3429428c9b29b7392a8c8801cecb7dea7560f2,BadDreams.pkl,419,2023-08-22T20:03:36.000Z,pickle,0,1,,3,2,1,0,0,10,unsafe,unsafe,suspicious,unsafe,safe,downloader,no execution | [dest] https://eozlys11waso3oz.m.pipedream.net,
hauson-fan/RagReuse,6bea5839d694cafd5f895d7a45148283bd5128ef,psgs_w100.tsv.pkl,163,2024-07-30T09:32:20.000Z,unknown,0,1,,3,0,0,0,0,12,safe,safe,suspicious,caution,safe,file_system_change|downloader,https://github.com/hauson-fan/hauson-fan.github.io/raw/master/files/torch.pyc,Alternative Execution Primitives: from urllib.request import urlretrieve
